,sentiment,content
0,2,know was listenin to bad habit earlier and started freakin at his part
1,10,layin bed with headache ughhhh waitin on your call
2,10,funeral ceremony gloomy friday
3,3,wants to hang out with friends soon
4,8,we want to trade with someone who has houston tickets but no one will
5,12,re pinging why did not you go to prom bc my bf did not like my friends
6,10,should be sleep but im not thinking about an old friend who want but he married now damn he wants me scandalous
7,12,hmmm is down
8,10,charlene my love miss you
9,10,sorry at least it friday
10,8,cant fall asleep
11,12,choked on her retainers
12,10,ugh have to beat this stupid song to get to the next rude
13,10,if watch the hills in london will realise what tourture it is because were weeks and weeks late just watch itonlinelol
14,11,got the news
15,10,the storm is here and the electricity is gone
16,7,agreed
17,10,so sleepy again and it not even that late fail once again
18,12,lady gaga tweeted about not being impressed by her video leaking just so you know
19,10,how are you convinced that have always wanted you what signals did give off damn think just lost another friend
20,12,oh too bad hope it gets better ve been having sleep issues lately too
21,4,wondering why awake at am writing new song plotting my evil secret plots muahahaha oh damn it not secret anymore
22,8,no topic maps talks at the balisage markup conference program online at via topicmaps
23,12,ate something do not know what it is why do keep telling things about food
24,10,so tired and think definitely going to get an ear infection going to bed early for once
25,12,on my way home having deal underage girls drinking gin on da bus while talking bout keggers damn feel old
26,10,sorry people are so rude to you isaac they should get some manners and know better than to be so lewd
27,12,damm servers still down need to hit before all the koxpers pass me
28,10,fudge just bs that whole paper so tired ugh hate school time to sleep
29,12,hate cancer hate it hate it hate it
30,6,it is so annoying when she starts typing on her computer in the middle of the night
31,8,cant sleep
32,8,missed the bl bus
33,8,feels strong contractions but wants to go out
34,8,socal stoked or maybe not tomorrow
35,8,screw you only have weeks
36,10,yeah feel all funny cause have not slept enough woke my mum up cause was singing she not impressed you
37,12,need skott right now
38,8,has work this afternoon
39,8,aw you would not unfollow me would you then would cry
40,5,mmm much better day so far it still quite early last day of uds
41,4,your gonna be the first twitter cause your amazing lol come to canada would do anything to see you perform
42,12,just picked up her blackberry from the middle of the street both she and it are crushed
43,12,why do have the feeling should be packing and hitting for sfo around this time of the year think missing something
44,2,middle school and elem high schools will remain open for those who need credits to graduate cali is broken
45,12,bed its time hope go to school tomorrow all though do not feel very well right now
46,12,ahh well was hoping that could learn some stuff on the way why not you and work on separate things but also
47,10,having problem with my photo here in twitter amf can not see my face
48,8,oh noooo if blow tire you re reaaaally going to have to send up some batman smoke
49,8,wnna take bath
50,8,chocolate milk is so much better through straw lack said straw
51,12,why am so tired
52,2,hey yu lil fucker textd yu
53,8,time diff and ve just been wrapped up in day to day stuff so havent been tweeting talk soon must sleep up in hrs
54,8,no way damn that sucks are you ok
55,12,sucks not being able to take days off of work or have the money to take the trip so sad
56,3,bed sorta today was good sara has strep thought angelina does to shared water with her they told me will prob get it to
57,8,the recession her hotel are restructuring how the accounts are done adds bit more pressure in the short term but we ll cope
58,8,but got dibs on sulu
59,10,aww onward and upwards now yay still sad to leave bet
60,12,at once haha poor aby still gets sore
61,10,diesel yaris mpg so sad its not available in the us that be awesome
62,10,want to buy this great album but unfortunately dont hav enuff funds its long time noisy
63,10,in all honesty pain blech
64,10,ok the passengers no one is alive they re all dead you just do not know it til the end then you cry
65,8,at home alone with not much to do
66,12,ia so much have not really been happy with any of cooks choices for singles
67,10,fell asleep on the beach and did not put on enough sunscreen lol
68,12,so think my son might have the flu cause def just cleaned up stanky puke mess poor pumkpin
69,5,so great to see oin cynthia so happy dinner was great cute little place too bad oin got sick afterwards
70,8,cant give any bday nudges
71,12,and all woman who transfer their first impressions sexual maternal onto less threatening man are themselves as weak as him
72,8,brothers bloom will not be opening this weekend in el paso ll just buy brick and enjoy that until can watch brothers bloom
73,8,says miss plurking
74,12,bitten to blood by my cat on my way for rabies bacterin seems shots for months never wash my cats at home again they hate water
75,8,miss voobys
76,8,neither are elp
77,5,dude that is my favorite sandwich place ever ummm did you take pictures
78,12,is sad that shin ae got married and it was not to alex
79,12,sure you will tweet about this when you re back but news is abuzz about tr knight leaving confirmed today muy triste
80,10,ohh thursday have exams all day what about wednesday
81,8,there was mix up with my dentist appt this afternoon so they rescheduled me for tomorrow am
82,10,was just thinking about how excited am for you guys to move but then realized how sad am to see you go
83,12,goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now
84,10,love those it sakey usb sticks we only have the gb in australia
85,12,fresh prince and sleepy sleeps my nightly routine gotta go to dmv early tmrw
86,6,dammit hulu desktop has totally screwed up my ability to talk to particular port on one of our dev servers so can not watch and code
87,12,am jealous of your mom talking to want to see you all our twittering is making me miss you
88,12,can not sleep keep thinking about the puppy played with today
89,12,suppposed to be sleep but got some much to do got that one part of the song stuck in my head your jerk iknow blaahh
90,8,what going on sweetheart
91,8,how can it be so freaking difficult to get system wide spellchecker shit settle for an office suite one stupid unhelpful windows
92,12,last one month due to summer strawberry is not availble in the chennai markets
93,8,work at am gotta go to bed soon
94,7,correct adore him just plucked him up and put him under my arm cuz he was cryin all better now hahaha
95,10,hiii im on my ipod cant fall asleep
96,10,dont wanna work tomorrow but get paid
97,10,feels sad coz wasnt able to play with the guys
98,8,princecharming
99,6,cayogial wanted to come to bz this summer not so sure anymore teacher life in the summer sucks
100,12,first ever dropped call on my mobile on call to no less being charged for data even though have data pack
101,6,you win sigh rakeem
102,8,oh is that time for real
103,10,darn these allergies do not like this time of year because of this never used to have this problem either
104,12,oh no one minute too late oh well
105,6,damn that sucks
106,10,wanted to come to bz this summer not so sure anymore teacher life in the summer sucks
107,6,this website gave me virus when opened it more windows kept popping up
108,12,ahh big scary bug flying around my room
109,10,wish she knew what she puts me through she stole my heart never gave it back and occasionally she likes to be like look what have
110,12,is up with nasty cough cant be sick have huge weekend ahead of me
111,8,that was stone cold crazy
112,1,so tired
113,8,shift time bbye biochem waaaaahhhhhh
114,8,sure some will cum out and play workin through til midnight
115,8,second that wish it rained more where am
116,10,early happy day of birth in case do not make it very tired from therapy today just taking my medicine misshu love ya
117,8,damn it were is eric or anyone else when you need your hair to be played with
118,8,feel deflated ugh no more dog
119,10,allergies suck ducks nuts
120,8,well it almost was good day guess just retry tomorrow
121,6,waraku is tasteless and expensive portion is so little re waraku
122,7,sounds good appreciate the suggestion been week now and we re still offline time to ask for refund
123,12,he died wait what about magic jack just read it
124,6,youstinkatrespondingtotexts
125,10,wonders why her karma points turned into
126,5,need to pack for cali cali cannot waittt thinking glass of wine is in order to celebrate my weekend vaca still work morrow tho
127,10,is miserable feel like im gona cry sux
128,8,well ran out of beer so left not sure about the eta waiting waiting waiting bleh gonna be long nite methinks
129,12,my nose stud fell out and can not find it looks like ll have to head into amsterdam today and get new one
130,8,claire love the show got into the office am and no radio
131,7,pats in philly at am love it mmm cheesesteak miss my boyfriend but love vacation
132,10,sigh going to bed just do not feel right anymore
133,8,what focused on tom so much did not see my beloved barack oh no must vote for both poor president only has votes
134,8,epicentre wheelock place tourists only
135,10,now am depressed after watching so you think you can dance
136,10,just cross cause stuck twiddling my thumbs now ugh
137,8,miss th
